name,Description
rafted ice,deformed sea ice in which one piece has overridden another; also called telescoped ice.
rafting,a process by which currents or winds push around thin ice so they slide over each other; also called finger rafting.
ram,"a horizontal underwater projection of ice from an ice front, ice wall, iceberg or floe."
randkluft,a fissure that separates a moving glacier from its headwall rock; like a bergschrund.
rawinsonde,radiosonde which is tracked by radar or radio-theodolite to measure the wind aloft.
reconstituted glacier,"a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstructed glacier,  regenerated glacier, or glacier remainie."
reconstructed glacier,"a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstituted glacier,  regenerated glacier, or glacier remainie."
recurring polynya,"irregularly shaped areas of persistent open water that are sustained by winds or ocean heat; they often occur near coasts, fast ice, or ice shelves."
red algae,algae common on temperate glaciers and perennial snow; its red color sometimes prompts people to call it watermelon snow.
reformatting,Provides the user the ability to convert the data from its native format to a different format.
regelation,motion of an object through ice by melting and freezing that is caused by pressure differences; this process allows a glacier to slide past small obstacles on its bed.
regenerated glacier,"a glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier then re-adhering; also called reconstituted or reconstructed glacier, or glacier remainie."
relative error,The ratio of the absolute error in a measurement to the size of the measurement.
relative humidity,"the (dimensionless) ratio of the actual vapor pressure of the air to the saturation vapor pressure; usually expressed as a percent, and can be computed from psychrometric data."
relative permittivity,the relative permitivity of a soil is the ratio of the permitivity of the soil to the permitivity of a vacuum.
relict active layer,"a layer of ground, now perennially frozen, lying immediately below the modern active layer; its thickness indicates the greater annual depth of thaw that occurred during a previous period."
relict ice,"ice formed in, and remaining from, the geologically recent past."
relict permafrost,permafrost existing in areas where permafrost can not form under present climatic conditions; reflects past climatic conditions that were colder.
reprojection,Provides the user the ability to convert the data from its native reference projection to a different reference projection.
residual stress,the effective stress generated in a thawing soil if no volume change is permitted during thaw.
residual thaw layer,a layer of thawed ground between the seasonally frozen ground and the permafrost table.
reticulate cryostructure,"the cryostructure in which horizontal and vertical ice veins form a three-dimensional, rectangular or square lattice."
reticulate ice,"a network of horizontal and vertical ice veins forming a three-dimensional, often rectangular or square lattice."
reticulate-blocky cryostructure,"the cryostructure in which horizontal and vertical ice veins form a three-dimensional, irregular rectangular lattice."
retreat,when a mountain glacier's terminus doesn't extend as far downvalley as it previously did; occurs when ablation surpasses accumulation.
retreating glacier,a glacier whose terminus is increasingly retreating upvalley compared to its previous position due to a higher level of ablation compared to accumulation.
